Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,,,,,,,,71.7,,,,,,,,,,80,,,,,,
Albania,ALB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,,,,,,61,,,50,,,43.4,,,,45.9,,46.5,32.8,32.9,32.7,24.1,21.5,19.9,,,,
Andorra,AND,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.6,,,,,,
Argentina,ARG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,6,9.6,,,,17.3,17.9,17.4,18.5,24,25.8,24.8,27,28,30.9,34.3,49.1,33.1,28.6,24.5,19.9,18.9,16.7,15.2,13.6,11.3,10.3,10.4,11.7,,11.5,9.8,12.5,14.9,18.3,14.2,13.9,16.4,15.2
