Country	Cold days 2015-2020
Afghanistan	5
Albania	6
Algeria	4
Angola	5
Antarctica	8
Argentina	8
Armenia	7
Australia	8
Austria	6
Azerbaijan	6
Bahamas	3
Bangladesh	9
Belarus	5
Belgium	6
Belize	6
Benin	7
Bhutan	5
Bolivia	6
Bosnia and Herz.	7
Botswana	7
Brazil	5
Brunei	4
Bulgaria	6
Burkina Faso	7
Burundi	4
Cambodia	7
Cameroon	6
Canada	5
Central African Rep.	7
Chad	5
Chile	6
China	7
Colombia	5
Congo	6
Costa Rica	4
Croatia	6
Cuba	5
Cyprus	4
Czechia	6
Côte d'Ivoire	6
Dem. Rep. Congo	6
Denmark	5
Djibouti	6
Dominican Rep.	4
Ecuador	4
Egypt	4
El Salvador	6
Eq. Guinea	5
Eritrea	6
Estonia	4
Ethiopia	5
Falkland Is.	7
Fiji	4
Finland	4
Fr. S. Antarctic Lands	8
France	4
Gabon	5
Gambia	7
Georgia	5
Germany	6
Ghana	6
Greece	4
Greenland	4
Guatemala	5
Guinea	6
Guinea-Bissau	6
Guyana	3
Haiti	6
Honduras	5
Hungary	6
Iceland	3
India	8
Indonesia	4
Iran	5
Iraq	5
Ireland	4
Israel	4
Italy	5
Jamaica	3
Japan	5
Jordan	4
Kazakhstan	6
Kenya	5
Kosovo	6
Kuwait	5
Kyrgyzstan	6
Laos	8
Latvia	5
Lebanon	5
Lesotho	6
Liberia	4
Libya	4
Lithuania	5
Madagascar	6
Malawi	6
Malaysia	5
Mali	5
Mauritania	4
Mexico	6
Moldova	6
Mongolia	7
Montenegro	6
Morocco	4
Mozambique	7
Myanmar	7
Namibia	6
Nepal	6
Netherlands	6
New Caledonia	4
New Zealand	6
Nicaragua	3
Niger	4
Nigeria	7
North Korea	6
North Macedonia	6
Norway	3
Oman	6
Pakistan	8
Palestine	4
Panama	4
Papua New Guinea	4
Paraguay	8
Peru	4
Philippines	5
Poland	6
Portugal	3
Qatar	4
Romania	6
Russia	5
Rwanda	4
S. Sudan	7
Saudi Arabia	4
Senegal	6
Serbia	6
Sierra Leone	5
Slovakia	6
Slovenia	6
Solomon Is.	2
Somalia	4
Somaliland	4
South Africa	7
South Korea	6
Spain	4
Sri Lanka	6
Sudan	5
Suriname	3
Sweden	4
Switzerland	6
Syria	4
Taiwan	6
Tajikistan	5
Tanzania	4
Thailand	8
Timor-Leste	5
Togo	7
Trinidad and Tobago	0
Tunisia	4
Turkey	5
Turkmenistan	5
Uganda	5
Ukraine	5
United Arab Emirates	4
United Kingdom	4
United States of America	6
Uruguay	8
Uzbekistan	5
Venezuela	4
Vietnam	7
W. Sahara	4
Yemen	6
Zambia	6
Zimbabwe	8
eSwatini	8
