"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","AGR","THND_PER","A","2017",318.3803,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2017",1137.186,
"AUT","EMPINDUS","AGR","THND_PER","A","2017",167.275,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2017",342.025,
"BEL","EMPINDUS","AGR","THND_PER","A","2017",53.975,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2017",318.05,
"CAN","EMPINDUS","AGR","THND_PER","A","2017",352.9667,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2017",1407.875,
"CZE","EMPINDUS","AGR","THND_PER","A","2017",146.325,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2017",391.875,
"DNK","EMPINDUS","AGR","THND_PER","A","2017",58.275,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2017",169.75,
"FIN","EMPINDUS","AGR","THND_PER","A","2017",92.9,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2017",186.675,
"FRA","EMPINDUS","AGR","THND_PER","A","2017",689.9,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2017",1723.35,
"DEU","EMPINDUS","AGR","THND_PER","A","2017",531.875,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2017",2837.35,
"GRC","EMPINDUS","AGR","THND_PER","A","2017",453.35,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2017",149.25,
"HUN","EMPINDUS","AGR","THND_PER","A","2017",222.675,
"HUN","EMPINDUS","CONSTR","THND_PER","A","2017",303.25,
"ISL","EMPINDUS","AGR","THND_PER","A","2017",7.275,
"ISL","EMPINDUS","CONSTR","THND_PER","A","2017",12.375,
"IRL","EMPINDUS","AGR","THND_PER","A","2017",110.3,"B"
"IRL","EMPINDUS","CONSTR","THND_PER","A","2017",128.675,"B"
"ITA","EMPINDUS","AGR","THND_PER","A","2017",870.875,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2017",1415.775,
"JPN","EMPINDUS","AGR","THND_PER","A","2017",2010,
"JPN","EMPINDUS","CONSTR","THND_PER","A","2017",4992.5,
"KOR","EMPINDUS","AGR","THND_PER","A","2017",1278.633,
"KOR","EMPINDUS","CONSTR","THND_PER","A","2017",1987.7,
"LUX","EMPINDUS","AGR","THND_PER","A","2017",3.125,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2017",13.9,
"MEX","EMPINDUS","AGR","THND_PER","A","2017",6621.433,
"NLD","EMPINDUS","AGR","THND_PER","A","2017",176.05,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2017",408.675,
"NZL","EMPINDUS","AGR","THND_PER","A","2017",163.25,
"NZL","EMPINDUS","CONSTR","THND_PER","A","2017",249.8,
"NOR","EMPINDUS","AGR","THND_PER","A","2017",54.425,
"NOR","EMPINDUS","CONSTR","THND_PER","A","2017",212.65,
"POL","EMPINDUS","AGR","THND_PER","A","2017",1672.175,
"POL","EMPINDUS","CONSTR","THND_PER","A","2017",1222.625,
"PRT","EMPINDUS","AGR","THND_PER","A","2017",303.425,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2017",307.5,
"SVK","EMPINDUS","AGR","THND_PER","A","2017",68.525,
"SVK","EMPINDUS","CONSTR","THND_PER","A","2017",244.175,
"ESP","EMPINDUS","AGR","THND_PER","A","2017",819.5,
"ESP","EMPINDUS","CONSTR","THND_PER","A","2017",1128.325,
"SWE","EMPINDUS","AGR","THND_PER","A","2017",91.45,
"SWE","EMPINDUS","CONSTR","THND_PER","A","2017",342.325,
"CHE","EMPINDUS","AGR","THND_PER","A","2017",140.7,
"CHE","EMPINDUS","CONSTR","THND_PER","A","2017",310.725,
"TUR","EMPINDUS","AGR","THND_PER","A","2017",5465.25,
"TUR","EMPINDUS","CONSTR","THND_PER","A","2017",2096.875,
"GBR","EMPINDUS","AGR","THND_PER","A","2017",370.5,
"GBR","EMPINDUS","CONSTR","THND_PER","A","2017",2339.976,
"USA","EMPINDUS","AGR","THND_PER","A","2017",2454.167,
"USA","EMPINDUS","CONSTR","THND_PER","A","2017",10692.33,
"CHL","EMPINDUS","AGR","THND_PER","A","2017",696.2369,
"CHL","EMPINDUS","CONSTR","THND_PER","A","2017",722.3632,
"EST","EMPINDUS","AGR","THND_PER","A","2017",23.125,
