ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,1.857.997,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,910.468,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Angola,"Employment by sex, age and economic activity (thousands)",HIES - Core Welfare Indicators Questionnaire,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2011,3.242.102,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Employment by sex, age and economic activity (thousands)",HIES - Core Welfare Indicators Questionnaire,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2011,338.159,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2019,408.597,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2019,88.016,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,101.802,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,1.283.429,,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,"Employment by sex, age and economic activity (thousands)","LFS - Permanent Household Survey, Urban",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,7.35,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Employment by sex, age and economic activity (thousands)","LFS - Permanent Household Survey, Urban",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,1.000.225,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,"Employment by sex, age and economic activity (thousands)",LFS - Household Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,655.582,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Employment by sex, age and economic activity (thousands)",LFS - Household Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,82.377,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Australia,"Employment by sex, age and economic activity (thousands)","HIES - Household, Income and Labour Dynamics Survey",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2020,294.609,,,,Repository: ILO-STATISTICS - Micro data processing
Australia,"Employment by sex, age and economic activity (thousands)","HIES - Household, Income and Labour Dynamics Survey",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2020,881.459,,,,Repository: ILO-STATISTICS - Micro data processing
Austria,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,144.18,,,,Repository: ILO-STATISTICS - Micro data processing
Austria,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,321.887,,,,Repository: ILO-STATISTICS - Micro data processing
Burundi,"Employment by sex, age and economic activity (thousands)",HIES - Living Standards Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2020,3.975.698,,,,Repository: ILO-STATISTICS - Micro data processing
Burundi,"Employment by sex, age and economic activity (thousands)",HIES - Living Standards Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2020,51.103,,,,Repository: ILO-STATISTICS - Micro data processing
Benin,"Employment by sex, age and economic activity (thousands)",HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2018,1058.73,,,,Repository: ILO-STATISTICS - Micro data processing
Benin,"Employment by sex, age and economic activity (thousands)",HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2018,153.831,,,,Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,"Employment by sex, age and economic activity (thousands)",LFS - Regional Integrated Survey on Employment and the Informal Sector,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2018,1.117.099,,,,Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,"Employment by sex, age and economic activity (thousands)",LFS - Regional Integrated Survey on Employment and the Informal Sector,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2018,147.588,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2017,23.201.189,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2017,3.373.273,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,178.73,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Bosnia and Herzegovina,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,104.724,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Belarus,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,521.74,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belarus,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,370.577,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belize,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,25.475,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Belize,"Employment by sex, age and economic activity (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,14.025,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,"Employment by sex, age and economic activity (thousands)",LFS - Continuous Employment Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,1.387.085,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,"Employment by sex, age and economic activity (thousands)",LFS - Continuous Employment Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Construction,2021,441.102,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Brazil,"Employment by sex, age and economic activity (thousands)",HS - Continuous National Household Sample Survey,Sex: Total,"Age (Youth, adults): 15-64",Economic activity (Aggregate): Agriculture,2021,8.311.538,,,,Repository: ILO-STATISTICS - Micro data processing
